rmName,stock,unit,rate,amount
ACACIA CATECHU (KHADIR CHHAL EXTRACT)-1,0,KGS,450,0
ALPHALIPOIC ACID-28,0.807,KGS,3450,2784.15
AMLA POWDER(AMLA)JUICE POWDER,0,KGS,360,0
APPLE CIDER VINEGAR POWDER,0,KGS,900,0
APPLE JUICE,0,KGS,350,0
ARJUN BARK EXTRACT(TERMINALIA ARJUN),0,KGS,750,0
ASHWAGANDHA(WITHANIA SOMNIFERA) EXTRACT,0,KGS,900,0
ASTAXANTHIN-49,0.452,KGS,7600,3435.2
AZADIRACTA INDICA EXTRACT (NEEM),0,KGS,475,0
BACOPA EXTRACT(BRAHMI),0,KGS,1000,0
BAMBOO EXTRACT-60,0.24,KGS,700,168
BEET ROOT EXTRACT-68,0.15,KGS,800,120
BERBERINE EXTRACT-70,0,KGS,1100,0
BETA CAROTENE 20%-71,0.01,KGS,9000,90
BETA ALANINE-72,0.62,KGS,900,558
BETA CAROTENE (2.5%) CWS,1,KGS,2000,2000
BILBERRY FRUIT EXTRACT-81,0.24,KGS,1200,288
BIOTIN-83,1.998,KGS,14300,28571.4
BLACK GRAPES(DRAKSH)JUICE POWDER,0,KGS,500,0
BLACK PIPER EXTRACT-89,0.008,KGS,9000,72
BOERHUVIA DIFFUSA EXTRACT(PUNARNAVA),0,KGS,690,0
BORON-93,8.2,GM,26,213.2
BOSWELLIA SERRATA EXTRACT (30 % )-94,0,KGS,850,0
BOSWELLIA SERRATA EXTRACT 65%-95,3.475,KGS,850,2953.75
BRAHMI EXTRACT-96,0.228,KGS,406,92.57
CAFFINE,0.18,KGS,3000,540
CALCITROL,100.103,MG,110,11011.33
CALCIUM CARBONATE OYSTERSHELL,126.987,KGS,20,2539.74
CALCIUM CITRATE,27.925,KGS,105,2932.13
CALCIUM CITRATE MALEATE,9,KGS,110,990
CALCIUM GLUCONATE,9.501,KGS,135,1282.64
CALCIUM LACTATE,1.144,KGS,0,0
CARAWAY OIL,0.002,KGS,1700,3.4
CARBONYL IRON,23.982,KGS,225,5395.95
CARDAMOM OIL,0.002,KGS,1800,3.6
CHARCOL POWDER,7.5,KGS,410,3075
CHASTEBERRY EXTRACT,0,KGS,900,0
CHOLIN CHLORIDE,0,KGS,1500,0
CHOLINE BITARTRATE,0.198,KGS,5000,990
CHONDROITIN SULPHATE,1.78,KGS,3950,7031
CHROMIUM CHLORIDE,2.281,KGS,1300,2965.3
CHROMIUM PICOLINATE,0.776,KGS,2950,2289.2
CINNAMOM OIL,0.024,KGS,2100,50.4
CINNAMON EXTRACT (TAJ),0.222,KGS,950,210.9
CISSUS QUDRANGULARIS,0,KGS,600,0
CITRULINE MALEATE,0.8,KGS,1150,920
CITRUS AURANTIFOLIA EXTRACT,0.7,KGS,800,560
CITRUS BIOFLAVONOIDS,0.062,KGS,875,54.25
CO ENZYME Q10,0.9,KGS,9200,8280
COBALTO,0.014,KGS,1000,14
COCONUT(NARIYEL)JUICE POWDER,0,KGS,410,0
COLLAGEN TYPE I,0.2,KGS,675,135
COLLAGEN TYPE II,0.69,KGS,950,655.5
COPPER SULPHATE,3.561,KGS,375,1335.38
CORAL CALCIUM,35.1,KGS,415,14566.5
COROSOLIC ACID 18% EXTRACT (BANABA),0,KGS,1200,0
COW COLOSTRUM,0.4,KGS,1875,750
CRANBERRY EXTRACT,0.2,KGS,1200,240
CREATINE MONOHYDRATE,0.28,KGS,980,274.4
CUPRIC SULPHATE,0,KGS,1200,0
CURCUMA LONGA 95%,0.179,KGS,5800,1038.2
DATES FRUIT(KHAJUR JUICE) POWDER,0,KGS,527,0
D-CALCIUM PANTOTHENATE IP,28.268,KGS,875,24734.5
D-CHIRO INOSITOL,0.435,KGS,12750,5546.25
DEXTROSE (ANHYDROUS),47.479,KGS,74,3513.45
DEXTROSE MONOHYDRATE,378.791,KGS,54,20454.71
DHA-10%,3.829,KGS,925,3541.83
DL.METHIONINE,0.24,KGS,550,132
D-MANNOSE,0.3,KGS,1700,510
D-PANTHENOL,1.956,KGS,4500,8802
EGG SHELL MEMBRANE,0,KGS,580,0
EPA,1.71,KGS,2100,3591
FENUGREEK EXTRACT (METHI ),0,KGS,480,0
FERROUS ASCORBATE (DC),4.2,KGS,315,1323
FERROUS BISGLYCINATE,25,KGS,295,7375
FERROUS FUMRATE,0.637,KGS,165,105.11
FERROUS GLUCONATE,19.283,KGS,165,3181.7
FISH OIL,1,KGS,700,700
FOLIC ACID,1.355,KGS,2650,3590.75
FRUCTO OLIGO SACHHARIDES,4.97,KGS,365,1814.05
FUNGLE DIASTAGE(1:2000),0.69,KGS,530,365.7
GARCINIA CAMBOGIA (COCOM EXTRACT ),0,KGS,1100,0
GARLIC EXTRACT(ALLIUM SATIVUM),0,KGS,850,0
GILOY EXTRACT,0.066,KGS,550,36.3
GINGER EXTRACT,0,KGS,800,0
GINKGO GILOBA EXTRACT,0,KGS,1800,0
GINSENG,0,KGS,1100,0
GLUCOSAMAINE SULPHATE,0.375,KGS,580,217.5
GLUTA PZ SACHET GRANULES,0,KGS,750,0
GLYCINE,22.173,KGS,325,7206.23
GOKHARU EXTRACT,0,KGS,550,0
GRAP SEAD EXTRET,0.325,KGS,800,260
GRAPE SEED JUICE,0,KGS,350,0
GREEN BASIL LEAVES EXTRACT,0.4,KGS,550,220
GREEN CHIRATA EXTRACT,0.25,KGS,550,137.5
GREEN COFFEE EXTRACT,0,KGS,1800,0
GREEN TEA EXTRATE,3.1,KGS,1400,4340
GUDMAR EXTRACT,0.175,KGS,900,157.5
GUGGUL EXTRACT,0,KGS,900,0
GULAB EXTRACT,0,KGS,700,0
IRON CHOLIN CITRATE,28.938,KGS,135,3906.63
JAMUN BEEJ EXTRACT,0.175,KGS,480,84
KALI EXTRACT,0,KGS,1800,0
KARELA EXTRACT,0.175,KGS,550,96.25
KAUNCH BEEJ EXTRACT,0,KGS,600,0
L- ARGININE,8.7,KGS,490,4263
L LUTEIN,0.21,KGS,3550,745.5
LACTASE ENZYME,0.16,KGS,0,0
LACTIC ACID BACILLUS,5,KGS,385,1925
L-ARGININE(SR),0,KGS,810,0
L-CARNITINE L-TARTRATE,0,KGS,1620,0
L-CARNOSINE,0,KGS,11200,0
L-CITRULLINE,1.55,KGS,900,1395
L-CYSTEINE,1.019,KGS,1280,1304.32
LEAFLIFE-AMINOSAFE PALLETS,30,KGS,666.67,20000.1
LEMON FRUIT(LEMON)JUICE POWDER,0,KGS,320,0
LEMON GRASS JUICE,0,KGS,400,0
L-GLUTAMINE,0.87,KGS,850,739.5
L-GLUTATHIONE,1.363,KGS,5950,8109.85
