rmName,stock,unit,rate,amount
ACACIA CATECHU (KHADIR CHHAL EXTRACT)-1,0.000,KGS,450.00,0.00
ALPHALIPOIC ACID-28,1.442,KGS,3225.00,4650.45
AMLA POWDER-32,0.000,KGS,360.00,0.00
APPLE JUICE,0.000,KGS,350.00,0.00
ARJUN BARK EXTRACT(TERMINALIA ARJUN),0.000,KGS,750.00,0.00
ASHWAGANDHA(WITHANIA SOMNIFERA) EXTRACT,0.275,KGS,450.00,123.75
ASTAXANTHIN-49,0.142,KGS,8200.00,1164.40
AZADIRACTA INDICA EXTRACT (NEEM),0.000,KGS,475.00,0.00
BACOPA EXTRACT(BRAHMI),0.000,KGS,1000.00,0.00
BAMBOO EXTRACT-60,0.240,KGS,700.00,168.00
BEET ROOT EXTRACT-68,0.150,KGS,800.00,120.00
BERBERINE EXTRACT-70,0.000,KGS,1100.00,0.00
BETA  CAROTENE 20%-71,0.194,KGS,9200.00,1784.80
BETA ALANINE-72,0.160,KGS,790.00,126.40
BILBERRY FRUIT EXTRACT-81,0.240,KGS,1200.00,288.00
BIOTIN-83,0.141,KGS,15000.00,2115.00
BLACK PIPER EXTRACT-89,0.068,KGS,9000.00,612.00
BOERHUVIA DIFFUSA EXTRACT(PUNARNAVA),0.000,KGS,690.00,0.00
BORON-93,8.500,GM,26.00,221.00
BOSWELLIA SERRATA EXTRACT (30 % )-94,0.000,KGS,850.00,0.00
BOSWELLIA SERRATA EXTRACT 65%-95,3.475,KGS,850.00,2953.75
BRAHMI EXTRACT-96,0.228,KGS,406.00,92.57
CAFFINE,0.180,KGS,3000.00,540.00
CALCITROL,100.103,MG,110.00,11011.33
CALCIUM CARBONATE  OYSTERSHELL,92.887,KGS,20.00,1857.74
CALCIUM CITRATE,37.925,KGS,98.00,3716.65
CALCIUM CITRATE MALEATE,15.394,KGS,107.00,1647.16
CALCIUM GLUCONATE,9.918,KGS,135.00,1338.93
CALCIUM LACTATE,1.144,KGS,0.00,0.00
CARAWAY OIL,0.026,KGS,1700.00,44.20
CARBONYL IRON,23.982,KGS,225.00,5395.95
CARDAMOM OIL,0.026,KGS,1800.00,46.80
CHARCOL POWDER,7.500,KGS,410.00,3075.00
CHASTEBERRY EXTRACT,0.000,KGS,900.00,0.00
CHOLIN CHLORIDE,0.000,KGS,1500.00,0.00
CHOLINE BITARTRATE,0.198,KGS,5000.00,990.00
CHONDROITIN SULPHATE,4.250,KGS,2900.00,12325.00
CHROMIUM CHLORIDE,2.333,KGS,1300.00,3032.90
CHROMIUM PICOLINATE,0.794,KGS,2950.00,2342.30
CINNAMOM OIL,0.037,KGS,2100.00,77.70
CINNAMON EXTRACT (TAJ),0.222,KGS,950.00,210.90
CISSUS QUDRANGULARIS,0.000,KGS,0.00,0.00
