ID,itemCode,batchSize,weight,stageId,pmCode,qty,uom,loss,netQty,entdate,pmName,stageName,stat,isDeleted,isMigrated
8,FMC001,200,,,PMC001,1000,NOS,1,1010,,CALNET SUSP 200 ML BOX,,0,FALSE,TRUE
9,FMC001,200,,,PMC002,1000,NOS,5,1050,,CALNET SUSP 200ML LABLE,,0,FALSE,TRUE
10,FMC001,200,,,PM2001,14,NOS,0,14,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
11,FMC001,200,,,PM2002,1000,NOS,2,1020,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
12,FMC001,200,,,PMP006,1000,NOS,3,1030,,PP CAP PRINTED 25 MM BARONET,,0,FALSE,TRUE
13,FMC001,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
32,FMB005,50,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
33,FMB004,50,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
38,FMC006,100,,,PMC013,5000,NOS,2,5100,,CALCIDOL DROPS BOX,,0,FALSE,TRUE
39,FMC006,100,,,PMC012,5000,NOS,3,5150,,CALCIDOL DROPS LABLE,,0,FALSE,TRUE
40,FMC006,100,,,PM2003,5000,NOS,2,5100,,20 ML DROPS BOTTLE,,0,FALSE,TRUE
41,FMC006,100,,,PM2001,25,NOS,0,25,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
42,FMC006,100,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
43,FMB001,200,,,PMB002,1000,NOS,1,1010,,BARONET -Z SYRUP 200 ML PRINTED BOX,,0,FALSE,TRUE
44,FMB001,200,,,PMB003,1000,NOS,5,1050,,BARONET -Z SYRUP 200 ML PRINTED LABLE,,0,FALSE,TRUE
45,FMB001,200,,,PM2001,14,NOS,0,14,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
46,FMB001,200,,,PM2002,1000,NOS,2,1020,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
47,FMB001,200,,,PMP006,1000,NOS,3,1030,,PP CAP PRINTED 25 MM BARONET,,0,FALSE,TRUE
48,FMB001,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
49,FMB002,200,,,PMB004,1000,NOS,1,1010,,BECONET SYRUP 200 ML PRINTED BOX,,0,FALSE,TRUE
50,FMB002,200,,,PMB005,1000,NOS,5,1050,,BECONET SYRUP 200 ML PRINTED LABLE,,0,FALSE,TRUE
51,FMB002,200,,,PM2001,14,NOS,0,14,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
52,FMB002,200,,,PM2002,1000,NOS,2,1020,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
53,FMB002,200,,,PMP006,1000,NOS,3,1030,,PP CAP PRINTED 25 MM BARONET,,0,FALSE,TRUE
54,FMB002,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
58,FMC004,200,,,PMC005,1000,NOS,1,1010,,CARBNET-XT SYRUP 200 ML PRINTED BOX,,0,FALSE,TRUE
59,FMC004,200,,,PMC006,1000,NOS,5,1050,,CARBNET-XT SYRUP 200ML PRINTED LABLE ,,0,FALSE,TRUE
60,FMC004,200,,,PM2001,14,NOS,0,14,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
61,FMC004,200,,,PM2002,1000,NOS,2,1020,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
62,FMC004,200,,,PMP006,1000,NOS,3,1030,,PP CAP PRINTED 25 MM BARONET,,0,FALSE,TRUE
63,FMC004,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
64,FMI001,200,,,PMI001,1000,NOS,1,1010,,IRONET SYRUP 200 ML BOX,,0,FALSE,TRUE
65,FMI001,200,,,PMI002,1000,NOS,5,1050,,IRONET SYRUP 200 ML PRINTED LABLE,,0,FALSE,TRUE
66,FMI001,200,,,PM2001,14,NOS,0,14,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
67,FMI001,200,,,PM2002,1000,NOS,2,1020,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
68,FMI001,200,,,PMP006,1000,NOS,3,1030,,PP CAP PRINTED 25 MM BARONET,,0,FALSE,TRUE
69,FMI001,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
70,FML001,200,,,PML001,1000,NOS,1,1010,,LYCONET SYRUP 200 ML PRINTED BOX,,0,FALSE,TRUE
71,FML001,200,,,PML002,1000,NOS,5,1050,,LYCONET SYRUP 200 ML PRINTED LABLE,,0,FALSE,TRUE
72,FML001,200,,,PM2001,14,NOS,0,14,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
73,FML001,200,,,PM2002,1000,NOS,2,1020,,200 ML BRUT BOTTLE AMBER,,0,FALSE,TRUE
74,FML001,200,,,PMP006,1000,NOS,3,1030,,PP CAP PRINTED 25 MM BARONET,,0,FALSE,TRUE
75,FML001,200,,,PMB006,1,NOS,0,1,,BOPP ROLL,,0,FALSE,TRUE
126,FMC002,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
127,FMC002,50000,,,PMC004,4,KGS,5,4.2,,CALNET-500 TABLET PRINTED ALLU FOIL,,0,FALSE,TRUE
128,FMC002,50000,,,PMC003,500,NOS,2,510,,CALNET-500 TABLET PRINTED BOX,,0,FALSE,TRUE
137,FMM003,50000,,,PMP002,14,KGS,5,14.7,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
138,FMM003,50000,,,PMM009,4.5,KGS,5,4.725,,METHYCAN FORT PRINTED FOIL,,0,FALSE,TRUE
139,FMM003,50000,,,PMM011,500,NOS,2,510,,METHYCAN FORT TAB BOX 10X10,,0,FALSE,TRUE
140,FMM003,50000,,,PMM010,5000,NOS,2,5100,,METHYCAN FORT PRINTED BOX 10 TAB,,0,FALSE,TRUE
141,FMM003,50000,,,PM2001,10,NOS,0,10,,CORUGATED BOX 72X200 ML,,0,FALSE,TRUE
152,FMM002,50000,,,PMP002,13.4,KGS,5,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0,FALSE,TRUE
153,FMM002,50000,,,PMM001,4,KGS,5,4.2,,MACLIPO -PLUS CAPSULE PRINTED FOIL,,0,FALSE,TRUE
154,FMM002,50000,,,PMM006,500,NOS,2,510,,MACLIPO-PLUS CAPSULE PRINTED BOX,,0,FALSE,TRUE
162,FMV001,100,,,PMB002,3333,NOS,5,3499.65,,BARONET -Z SYRUP 200 ML PRINTED BOX,,0,FALSE,TRUE
