ID,itemCode,batchSize,weight,stageId,pmCode,qty,uom,loss,netQty,entdate,pmName,stageName,stat
8,FMC001,200,,,PMC001,1000.00,NOS,1.00,1010.00,,CALNET SUSP 200 ML BOX,,0
9,FMC001,200,,,PMC002,1000.00,NOS,5.00,1050.00,,CALNET SUSP 200ML LABLE,,0
10,FMC001,200,,,PM2001,14.00,NOS,0.00,14.00,,CORUGATED BOX 72X200 ML,,0
11,FMC001,200,,,PM2002,1000.00,NOS,2.00,1020.00,,200 ML BRUT BOTTLE AMBER,,0
12,FMC001,200,,,PMP006,1000.00,NOS,3.00,1030.00,,PP CAP PRINTED 25 MM BARONET,,0
13,FMC001,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
32,FMB005,50,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
33,FMB004,50,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
38,FMC006,100,,,PMC013,5000.00,NOS,2.00,5100.00,,CALCIDOL DROPS BOX,,0
39,FMC006,100,,,PMC012,5000.00,NOS,3.00,5150.00,,CALCIDOL DROPS LABLE,,0
40,FMC006,100,,,PM2003,5000.00,NOS,2.00,5100.00,,20 ML DROPS BOTTLE,,0
41,FMC006,100,,,PM2001,25.00,NOS,0.00,25.00,,CORUGATED BOX 72X200 ML,,0
42,FMC006,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
43,FMB001,200,,,PMB002,1000.00,NOS,1.00,1010.00,,BARONET -Z SYRUP 200 ML PRINTED BOX,,0
44,FMB001,200,,,PMB003,1000.00,NOS,5.00,1050.00,,BARONET -Z SYRUP 200 ML PRINTED LABLE,,0
45,FMB001,200,,,PM2001,14.00,NOS,0.00,14.00,,CORUGATED BOX 72X200 ML,,0
46,FMB001,200,,,PM2002,1000.00,NOS,2.00,1020.00,,200 ML BRUT BOTTLE AMBER,,0
47,FMB001,200,,,PMP006,1000.00,NOS,3.00,1030.00,,PP CAP PRINTED 25 MM BARONET,,0
48,FMB001,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
49,FMB002,200,,,PMB004,1000.00,NOS,1.00,1010.00,,BECONET SYRUP 200 ML PRINTED BOX,,0
50,FMB002,200,,,PMB005,1000.00,NOS,5.00,1050.00,,BECONET SYRUP 200 ML PRINTED LABLE,,0
51,FMB002,200,,,PM2001,14.00,NOS,0.00,14.00,,CORUGATED BOX 72X200 ML,,0
52,FMB002,200,,,PM2002,1000.00,NOS,2.00,1020.00,,200 ML BRUT BOTTLE AMBER,,0
53,FMB002,200,,,PMP006,1000.00,NOS,3.00,1030.00,,PP CAP PRINTED 25 MM BARONET,,0
54,FMB002,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
58,FMC004,200,,,PMC005,1000.00,NOS,1.00,1010.00,,CARBNET-XT SYRUP 200 ML PRINTED BOX,,0
59,FMC004,200,,,PMC006,1000.00,NOS,5.00,1050.00,,CARBNET-XT SYRUP 200ML PRINTED LABLE ,,0
60,FMC004,200,,,PM2001,14.00,NOS,0.00,14.00,,CORUGATED BOX 72X200 ML,,0
61,FMC004,200,,,PM2002,1000.00,NOS,2.00,1020.00,,200 ML BRUT BOTTLE AMBER,,0
62,FMC004,200,,,PMP006,1000.00,NOS,3.00,1030.00,,PP CAP PRINTED 25 MM BARONET,,0
63,FMC004,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
64,FMI001,200,,,PMI001,1000.00,NOS,1.00,1010.00,,IRONET SYRUP 200 ML BOX,,0
65,FMI001,200,,,PMI002,1000.00,NOS,5.00,1050.00,,IRONET SYRUP 200 ML PRINTED LABLE,,0
66,FMI001,200,,,PM2001,14.00,NOS,0.00,14.00,,CORUGATED BOX 72X200 ML,,0
67,FMI001,200,,,PM2002,1000.00,NOS,2.00,1020.00,,200 ML BRUT BOTTLE AMBER,,0
68,FMI001,200,,,PMP006,1000.00,NOS,3.00,1030.00,,PP CAP PRINTED 25 MM BARONET,,0
69,FMI001,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
70,FML001,200,,,PML001,1000.00,NOS,1.00,1010.00,,LYCONET SYRUP 200 ML PRINTED BOX,,0
71,FML001,200,,,PML002,1000.00,NOS,5.00,1050.00,,LYCONET SYRUP 200 ML PRINTED LABLE,,0
72,FML001,200,,,PM2001,14.00,NOS,0.00,14.00,,CORUGATED BOX 72X200 ML,,0
73,FML001,200,,,PM2002,1000.00,NOS,2.00,1020.00,,200 ML BRUT BOTTLE AMBER,,0
74,FML001,200,,,PMP006,1000.00,NOS,3.00,1030.00,,PP CAP PRINTED 25 MM BARONET,,0
75,FML001,200,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
126,FMC002,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
127,FMC002,50000,,,PMC004,4.00,KGS,5.00,4.20,,CALNET-500 TABLET PRINTED ALLU FOIL,,0
128,FMC002,50000,,,PMC003,500.00,NOS,2.00,510.00,,CALNET-500 TABLET PRINTED BOX,,0
137,FMM003,50000,,,PMP002,14.00,KGS,5.00,14.70,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
138,FMM003,50000,,,PMM009,4.50,KGS,5.00,4.72,,METHYCAN FORT PRINTED FOIL,,0
139,FMM003,50000,,,PMM011,500.00,NOS,2.00,510.00,,METHYCAN FORT TAB BOX 10X10,,0
140,FMM003,50000,,,PMM010,5000.00,NOS,2.00,5100.00,,METHYCAN FORT PRINTED BOX 10 TAB,,0
141,FMM003,50000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
152,FMM002,50000,,,PMP002,13.40,KGS,5.00,14.07,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
153,FMM002,50000,,,PMM001,4.00,KGS,5.00,4.20,,MACLIPO -PLUS CAPSULE PRINTED FOIL,,0
154,FMM002,50000,,,PMM006,500.00,NOS,2.00,510.00,,MACLIPO-PLUS CAPSULE PRINTED BOX,,0
162,FMV001,100,,,PMB002,3333.00,NOS,5.00,3499.65,,BARONET -Z SYRUP 200 ML PRINTED BOX,,0
163,FMV001,100,,,PMB003,3333.00,NOS,10.00,3666.30,,BARONET -Z SYRUP 200 ML PRINTED LABLE,,0
164,FMV001,100,,,PM2002,3333.00,NOS,2.00,3399.66,,200 ML BRUT BOTTLE AMBER,,0
165,FMV001,100,,,PM2001,17.00,NOS,0.00,17.00,,CORUGATED BOX 72X200 ML,,0
166,FMV001,100,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
167,FMV001,100,,,PMM012,3333.00,NOS,2.00,3399.66,,MUSSARING CAP 25 MM,,0
175,FMH001,50000,,,PMP002,13.70,KGS,5.00,14.39,,PLAIN ALU FOIL ALU/ALU 125 MM,,0
176,FMH001,50000,,,PM2001,10.00,NOS,0.00,10.00,,CORUGATED BOX 72X200 ML,,0
177,FMH001,50000,,,PMH002,500.00,NOS,2.00,510.00,,HILTON TABLET BOX,,0
178,FMH001,50000,,,PMH001,3.90,KGS,0.00,3.90,,HILTON TABLET FOIL,,0
182,FML003,30000,,,PML003,1.80,KGS,0.00,1.80,,LIPOLEX-M TABLET FOIL,,0
183,FML003,30000,,,PM 001,300.00,NOS,2.00,306.00,,LIPOLEX-M TABLET BOX,,0
184,FML003,30000,,,PMP001,7.50,KGS,0.00,7.50,,PLAIN ALU FOIL ALU/ALU 105 MM,,0
185,FML003,30000,,,PM2001,2.00,NOS,0.00,2.00,,CORUGATED BOX 72X200 ML,,0
186,FME001,5000,,,PME001,250.00,NOS,2.00,255.00,,ECCO PRO Z SACHET BOX,,0
187,FME001,5000,,,PM 002,11.00,KGS,0.00,11.00,,ECCO PRO Z SACHET FOIL,,0
188,FME001,5000,,,PM2001,5.00,NOS,0.00,5.00,,CORUGATED BOX 72X200 ML,,0
189,FME001,5000,,,PMB006,1.00,NOS,0.00,1.00,,BOPP ROLL,,0
240,FMI002,30000,,,PMI003,1000.00,NOS,5.00,1050.00,,IMMUNO UP TABLET LABLE,,0
241,FMI002,30000,,,PMD001,1000.00,NOS,1.00,1010.00,,DABBY 60 TABLET 12/32,,0
242,FMI002,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
243,FMI002,30000,,,PMA005,1000.00,NOS,2.00,1020.00,,ALLUMINIUM SILER FOR DABBY,,0
244,FMH002,30000,,,PMH003,1000.00,NOS,5.00,1050.00,,HILFRESH-C TABLET LABLE,,0
245,FMH002,30000,,,PMD001,1000.00,NOS,1.00,1010.00,,DABBY 60 TABLET 12/32,,0
246,FMH002,30000,,,PM2001,4.00,NOS,0.00,4.00,,CORUGATED BOX 72X200 ML,,0
247,FMH002,30000,,,PMA005,1000.00,NOS,2.00,1020.00,,ALLUMINIUM SILER FOR DABBY,,0
248,FMM005,30000,,,PMM015,1000.00,NOS,5.00,1050.00,,MUNATE TABLET LABLE,,0
249,FMM005,30000,,,PMD001,1000.00,NOS,1.00,1010.00,,DABBY 60 TABLET 12/32,,0
