ID,productCode,batchSize,weight,stageId,itemCode,qty,uom,loss,netQty,entDate,rmName,stageName,stCode,stkCode,stkName,lcQty,lcUOM,lcPer
22,PRC001,200,,4,RMC001,5.00,KGS,0.00,5.00,,CALCIUM CARBONATE ,MIXING,,,,0.00,,5 ML
23,PRC001,200,,4,RMC006,16.00,KGS,0.00,16.00,,CALCIUM CARBONATE  OYSTERSHELL,MIXING,,,,0.00,,5 ML
242,PRC006,1,,4,RMB001,10.00,MG,30.00,13.00,,BIOTIN,MIXING,,,,10.00,MG,
243,PRC006,1,,4,RMC006,240.00,MG,0.00,240.00,,CALCIUM CARBONATE  OYSTERSHELL,MIXING,,,,240.00,MG,
244,PRC006,1,,4,RMM003,20.00,MG,0.00,20.00,,M.C.C.P.,MIXING,,,,0.00,,
245,PRC006,1,,4,RML034,14.77,MG,0.00,14.77,,LACTOSE IP,MIXING,,,,0.00,,
246,PRC006,1,,4,RMS001,11.00,MG,0.00,11.00,,STARCH,MIXING,,,,0.00,,
247,PRC006,1,,4,RMS003,2.00,MG,0.00,2.00,,SODIUM BENZOATE,MIXING,,,,0.00,,
248,PRC006,1,,7,RMS004,15.00,MCG,0.00,15.00,,SELENIUM DIOXIDE,LUBRICATION,,,,15.00,MCG,
249,PRC006,1,,7,RMZ002,7.00,MG,175.00,19.25,,ZINC SULPHATE,LUBRICATION,,,,7.00,MG,
250,PRC006,1,,7,RMT001,6.00,MG,0.00,6.00,,TALCUM,LUBRICATION,,,,0.00,,
251,PRC006,1,,7,RMS002,5.00,MG,0.00,5.00,,SODIUM STARCH GLYCOLATE,LUBRICATION,,,,0.00,,
252,PRC006,1,,7,RMA002,3.00,MG,0.00,3.00,,AEROSIL,LUBRICATION,,,,0.00,,
253,PRC006,1,,7,RMC002,6.00,MG,0.00,6.00,,CROSS CARMELOSE SODIUM ,LUBRICATION,,,,0.00,,
282,PRL003,1,,4,RMF015,22.00,MG,0.00,22.00,,FILM COAT TITANIUM DIOXIDE ,MIXING,,,,0.00,,
283,PRL003,1,,4,RMI006,0.02,ML,0.00,0.02,,I.P.A,MIXING,,,,0.00,,
284,PRL003,1,,4,RMM032,0.02,ML,0.00,0.02,,M.D.C,MIXING,,,,0.00,,
285,PRC007,1,,4,RMF015,9.00,MG,0.00,9.00,,FILM COAT TITANIUM DIOXIDE ,MIXING,,,,0.00,,
286,PRC007,1,,4,RMI006,0.09,ML,0.00,0.09,,I.P.A,MIXING,,,,0.00,,
287,PRC007,1,,4,RMM032,0.09,ML,0.00,0.09,,M.D.C,MIXING,,,,0.00,,
542,PRC005,1,,4,RMF015,21.25,MG,0.00,21.25,,FILM COAT TITANIUM DIOXIDE ,MIXING,,,,0.00,,
