ID,productCode,batchSize,weight,stageId,itemCode,qty,uom,loss,netQty,entDate,rmName,stageName,stCode,stkCode,stkName,lcQty,lcUOM,lcPer,isDeleted
22,PRC001,200,,4,RMC001,5,KGS,0,5,,CALCIUM CARBONATE,MIXING,,,,0,,5 ML,FALSE
23,PRC001,200,,4,RMC006,16,KGS,0,16,,CALCIUM CARBONATE OYSTERSHELL,MIXING,,,,0,,5 ML,FALSE
242,PRC006,1,,4,RMB001,10,MG,30,13,,BIOTIN,MIXING,,,,10,MG,,FALSE
243,PRC006,1,,4,RMC006,240,MG,0,240,,CALCIUM CARBONATE OYSTERSHELL,MIXING,,,,240,MG,,FALSE
244,PRC006,1,,4,RMM003,20,MG,0,20,,M.C.C.P.,MIXING,,,,0,,,FALSE
245,PRC006,1,,4,RML034,14.765,MG,0,14.765,,LACTOSE IP,MIXING,,,,0,,,FALSE
246,PRC006,1,,4,RMS001,11,MG,0,11,,STARCH,MIXING,,,,0,,,FALSE
247,PRC006,1,,4,RMS003,2,MG,0,2,,SODIUM BENZOATE,MIXING,,,,0,,,FALSE
248,PRC006,1,,7,RMS004,15,MCG,0,15,,SELENIUM DIOXIDE,LUBRICATION,,,,15,MCG,,FALSE
249,PRC006,1,,7,RMZ002,7,MG,175,19.25,,ZINC SULPHATE,LUBRICATION,,,,7,MG,,FALSE
250,PRC006,1,,7,RMT001,6,MG,0,6,,TALCUM,LUBRICATION,,,,0,,,FALSE
251,PRC006,1,,7,RMS002,5,MG,0,5,,SODIUM STARCH GLYCOLATE,LUBRICATION,,,,0,,,FALSE
252,PRC006,1,,7,RMA002,3,MG,0,3,,AEROSIL,LUBRICATION,,,,0,,,FALSE
253,PRC006,1,,7,RMC002,6,MG,0,6,,CROSS CARMELOSE SODIUM,LUBRICATION,,,,0,,,FALSE
282,PRL003,1,,4,RMF015,22,MG,0,22,,FILM COAT TITANIUM DIOXIDE,MIXING,,,,0,,,FALSE
283,PRL003,1,,4,RMI006,0.022,ML,0,0.022,,I.P.A,MIXING,,,,0,,,FALSE
284,PRL003,1,,4,RMM032,0.022,ML,0,0.022,,M.D.C,MIXING,,,,0,,,FALSE
285,PRC007,1,,4,RMF015,9,MG,0,9,,FILM COAT TITANIUM DIOXIDE,MIXING,,,,0,,,FALSE
286,PRC007,1,,4,RMI006,0.09,ML,0,0.09,,I.P.A,MIXING,,,,0,,,FALSE
287,PRC007,1,,4,RMM032,0.09,ML,0,0.09,,M.D.C,MIXING,,,,0,,,FALSE
542,PRC005,1,,4,RMF015,21.25,MG,0,21.25,,FILM COAT TITANIUM DIOXIDE,MIXING,,,,0,,,FALSE
543,PRC005,1,,4,RMI006,0.21,ML,0,0.21,,I.P.A,MIXING,,,,0,,,FALSE
